"step" "angle" "time" "temp" "altitude" "slope" "ruggedness" "dist_to_sea" "xutm" "yutm" "x" "y" "habitat" "ID"
"1" 2046.50335939133 NA "13:00:00" -7 2.36444440682729 0.0618296072320183 1.74462339496276 26.0236892700195 517945 8262572 -20.4002164661822 74.4521399331531 "Sparse_vegetated" "M07"
"2" 2005.02493750078 -0.152212718337531 "14:00:00" -6 5.24488869561089 0.101788767925535 2.45892858301216 41 519221 8260972 -20.3581486047542 74.4376803865394 "Sparse_vegetated" "M07"
"3" 1988.66085595307 0.0748107919767899 "15:00:00" -7 20.1933334710863 0.0209126768260312 0.499570930120102 439 520219 8259233 -20.3254835773355 74.4219955273544 "Bareground" "M07"
"4" NA NA "16:00:00" -6 13.8783333301544 0.0269897338974759 0.63062655403832 307.702514648438 521335 8257587 -20.2889132307996 74.4071267531319 "Sparse_vegetated" "M07"
"5" NA NA "17:00:00" -5.85714285714286 14.137873053475 0.0279551412306934 0.645897972179367 336.408150247241 NA NA NA NA NA "M07"
"6" NA NA "18:00:00" -5.71428571428571 14.3974127767956 0.0289205485639108 0.661169390320414 365.113785846045 NA NA NA NA NA "M07"
"7" NA NA "19:00:00" -5.57142857142857 14.6569525001162 0.0298859558971283 0.676440808461461 393.819421444848 NA NA NA NA NA "M07"
"8" NA NA "20:00:00" -5.42857142857143 14.9164922234369 0.0308513632303457 0.691712226602509 422.525057043651 NA NA NA NA NA "M07"
"9" NA NA "21:00:00" -5.28571428571429 15.1760319467575 0.0318167705635632 0.706983644743556 451.230692642454 NA NA NA NA NA "M07"
"10" NA NA "22:00:00" -5.14285714285714 15.4355716700781 0.0327821778967806 0.722255062884603 479.936328241258 NA NA NA NA NA "M07"
"11" 1860.87318213789 NA "23:00:00" -5 15.6951113933987 0.0337475852299981 0.73752648102565 508.641963840061 521264 8258161 -20.2910513991447 74.4122788063338 "Sparse_vegetated" "M07"
"12" 967.382551010716 -0.00676938888461187 "00:00:00" -2 35.833333507114 0.0488331155182245 1.0997417883872 802.937393256293 520439 8259829 -20.317916931194 74.4273147010084 "Sparse_vegetated" "M07"
"13" 1 -0.452552363898538 "01:00:00" 1 36.2488880242242 0.0428646120102872 1.40121777861201 836.866584472656 520016 8260699 -20.3317056866673 74.4351551299779 "Bareground" "M07"
"14" 1 3.14159265358979 "02:00:00" 6 36.2377768622504 0.0442663291298473 1.43953080058974 837.315702311198 520016 8260700 -20.331705311529 74.4351640925048 "Bareground" "M07"
"15" 1 0 "03:00:00" 8 36.2488880242242 0.0428646120102872 1.40121777861201 836.866584472656 520016 8260699 -20.3317056866673 74.4351551299779 "Bareground" "M07"
"16" 4.47213595499958 1.10714871779409 "04:00:00" 10 36.2599991861979 0.0414628948907271 1.36290475663428 836.417466634115 520016 8260698 -20.3317060618053 74.4351461674509 "Bareground" "M07"
"17" 2 2.0344439357957 "05:00:00" 14 36.2866658528646 0.0357781290138896 1.27886481039579 839.079968261719 520020 8260696 -20.3315732719639 74.4351278395205 "Bareground" "M07"
"18" 680.900139521208 0.592075900775309 "06:00:00" 17 36.2599990844727 0.0386747766638508 1.35893527166896 839.974279785156 520020 8260698 -20.3315725215395 74.435145764574 "Bareground" "M07"
"19" 569.653403395433 0.06511817238068 "07:00:00" 10 42.5977777693007 0.0847259494732416 1.91090684911311 524.941339111328 519640 8261263 -20.3440508369879 74.440247517765 "Sparse_vegetated" "M07"
"20" 1548.81535374621 0.369307232964108 "08:00:00" 5 42.7377777777778 0.083422879742596 1.96158420992337 433.497136501736 519292 8261714 -20.3555093888711 74.4443237296479 "Sparse_vegetated" "M07"
"21" 959.066212521325 0.058263091334704 "09:00:00" 0 3.38066655953725 0.0726926223644516 1.79278202053066 47 517967 8262516 -20.3995001008527 74.4516360359747 "Bareground" "M07"
"22" 849.372121040007 0.0587223745436778 "10:00:00" -3 15.9259998194377 0.0410656934644327 0.985900908803681 340.054454142253 517119 8262964 -20.427696331939 74.4557262476057 "Bareground" "M07"
"23" 190.685605120051 0.747401735920646 "11:00:00" -3 5.79822238074409 0.0173357593078363 0.428220055676906 366.105162760417 516346 8263316 -20.4534287255774 74.4589462900726 "Bareground" "M07"
"24" 418.688428309166 -0.377445480215393 "12:00:00" -1 5.91333335240682 0.0389405437216615 0.903808419566236 237.436348978678 516165 8263256 -20.4594988195737 74.4584233544697 "Sparse_vegetated" "M07"
"25" 245.60130292814 0.704111725354456 "13:00:00" 1 10.5011109564039 0.0459084830744741 1.07058187390478 170 515747 8263280 -20.473467407241 74.4586720706941 "Sparse_vegetated" "M07"
"26" 420.277289417356 -1.15085254866211 "14:00:00" 3 0 0.0627652547076213 1.46385817846096 22 515551 8263132 -20.4800639761488 74.4573610408138 "Sparse_vegetated" "M07"
"27" 300.682556860221 0.224423975444065 "15:00:00" 3 0.506666677072644 0.0759836520834973 1.85921531138602 15 515183 8263335 -20.4923092121114 74.4592089780662 "Water_snow_ice" "M07"
"28" 176.920886274063 0.560298994294397 "16:00:00" 3 7.38755561616686 0.0037306292633958 0.154874539557841 189.263621554905 514894 8263418 -20.5019491086705 74.4599747914582 "Sparse_vegetated" "M07"
"29" 45.2216762183801 -1.53666751274323 "17:00:00" 3 6.33333335134718 0.0118875103079364 0.305520456585794 199 514724 8263369 -20.5076471515525 74.4595483029972 "Sparse_vegetated" "M07"
"30" 2.23606797749979 -2.9927027059803 "18:00:00" 6 6.5 0.0125262464995535 0.404001456021989 242 514710 8263412 -20.5081033796675 74.4599347411844 "Sparse_vegetated" "M07"
